var1,var2,var3
619.072388,0.177686,0.984087
619.122375,0.226636,0.973979
619.172363,0.275020,0.961438
619.222351,0.322717,0.946496
619.272339,0.369607,0.929188
619.322327,0.415574,0.909559
619.372314,0.460503,0.887658
619.422302,0.504281,0.863539
619.472290,0.546800,0.837263
619.522278,0.587952,0.808896
619.572266,0.627636,0.778507
619.622253,0.665752,0.746173
619.672241,0.702204,0.711976
619.722229,0.736902,0.675999
619.772217,0.769759,0.638334
619.822205,0.800693,0.599074
619.872192,0.829627,0.558318
619.922180,0.856488,0.516166
619.972168,0.881210,0.472725
620.022156,0.903730,0.428104
620.072144,0.923992,0.382412
620.122131,0.941946,0.335765
620.172119,0.957546,0.288280
620.222107,0.970755,0.240074
620.272095,0.981538,0.191269
620.322083,0.989869,0.141985
620.372070,0.995727,0.092347
620.422058,0.999097,0.042478
620.472046,0.999972,0.007497
620.522034,0.998348,0.057453
620.572021,0.994230,0.107266
620.622009,0.987629,0.156810
620.671997,0.978560,0.205963
620.721985,0.967046,0.254602
620.771973,0.953116,0.302604
620.821960,0.936806,0.349850
620.871948,0.918154,0.396223
620.921936,0.897209,0.441605
620.971924,0.874023,0.485884
621.021912,0.848653,0.528950
621.071899,0.821163,0.570694
621.121887,0.791621,0.611012
621.171875,0.760102,0.649804
621.221863,0.726684,0.686972
621.271851,0.691450,0.722424
621.321838,0.654489,0.756071
621.371826,0.615893,0.787830
621.421814,0.575758,0.817620
621.471802,0.534185,0.845367
621.521790,0.491278,0.871003
621.571777,0.447142,0.894463
621.621765,0.401890,0.915688
621.671753,0.355634,0.934625
621.721741,0.308490,0.951228
621.771729,0.260574,0.965454
621.821716,0.212008,0.977268
621.871704,0.162912,0.986641
621.921692,0.113409,0.993548
621.971680,0.063623,0.997974
622.021667,0.013678,0.999906
622.071655,0.036302,0.999341
622.121643,0.086191,0.996279
622.171631,0.135864,0.990728
622.221619,0.185198,0.982701
622.271606,0.234069,0.972220
622.321594,0.282356,0.959310
622.371582,0.329937,0.944003
622.421570,0.376694,0.926338
622.471558,0.422509,0.906359
622.521545,0.467270,0.884115
622.571533,0.510863,0.859662
622.621521,0.553179,0.833062
622.671509,0.594114,0.804381
622.721497,0.633564,0.773690
622.771484,0.671432,0.741066
622.821472,0.707622,0.706591
622.871460,0.742044,0.670351
622.921448,0.774613,0.632436
622.971436,0.805246,0.592941
623.021423,0.833868,0.551965
623.071411,0.860406,0.509609
623.121399,0.884795,0.465981
623.171387,0.906973,0.421188
623.221375,0.926886,0.375343
623.271362,0.944483,0.328561
623.321350,0.959720,0.280957
623.371338,0.972560,0.232652
623.421326,0.982970,0.183766
623.471313,0.990924,0.134420
623.521301,0.996403,0.084739
623.571289,0.999393,0.034846
623.621277,0.999885,0.015135
623.671265,0.997880,0.065077
623.721252,0.993382,0.114857
623.771240,0.986402,0.164349
623.821228,0.976958,0.213432
623.871216,0.965073,0.261981
623.921204,0.950777,0.309875
623.971191,0.934106,0.356996
624.021179,0.915101,0.403224
624.071167,0.893810,0.448445
624.121155,0.870286,0.492546
624.171143,0.844588,0.535417
624.221130,0.816780,0.576949
624.271118,0.786931,0.617041
624.321106,0.755117,0.655590
624.371094,0.721416,0.692502
624.421082,0.685912,0.727684
624.471069,0.648695,0.761048
624.521057,0.609858,0.792511
624.571045,0.569496,0.821994
624.621033,0.527713,0.849423
624.671021,0.484610,0.874730
624.721008,0.440297,0.897852
624.770996,0.394884,0.918731
624.820984,0.348485,0.937314
624.870972,0.301215,0.953556
624.920959,0.253192,0.967416
624.970947,0.204537,0.978859
625.020935,0.155371,0.987856
625.070923,0.105817,0.994386
625.120911,0.055998,0.998431
625.170898,0.006040,0.999982
625.220886,0.043934,0.999034
625.270874,0.093798,0.995591
625.320862,0.143427,0.989661
625.370850,0.192699,0.981258
625.420837,0.241488,0.970404
625.470825,0.289675,0.957125
625.520813,0.337138,0.941455
625.570801,0.383758,0.923434
625.620789,0.429420,0.903105
625.670776,0.474009,0.880520
625.720764,0.517414,0.855735
625.770752,0.559526,0.828813
625.820740,0.600240,0.799820
625.870728,0.639455,0.768828
625.920715,0.677072,0.735916
625.970703,0.712998,0.701166
626.020691,0.747143,0.664664
626.070679,0.779421,0.626501
626.120667,0.809751,0.586773
626.170654,0.838059,0.545579
626.220642,0.864273,0.503022
626.270630,0.888328,0.459209
626.320618,0.910164,0.414248
626.370605,0.929726,0.368253
626.420593,0.946965,0.321337
626.470581,0.961838,0.273619
626.520569,0.974309,0.225217
626.570557,0.984345,0.176252
626.620544,0.991922,0.126847
626.670532,0.997021,0.077125
626.720520,0.999630,0.027211
626.770508,0.999741,0.022771
626.820496,0.997354,0.072697
626.870483,0.992476,0.122441
626.920471,0.985118,0.171879
626.970459,0.975299,0.220888
627.020447,0.963044,0.269345
627.070435,0.948383,0.317129
627.120422,0.931352,0.364120
627.170410,0.911995,0.410202
627.220398,0.890359,0.455259
627.270386,0.866499,0.499179
627.320374,0.840474,0.541852
627.370361,0.812349,0.583171
627.420349,0.782195,0.623033
627.470337,0.750087,0.661339
627.520325,0.716105,0.697993
627.570312,0.680334,0.732902
627.620300,0.642863,0.765981
627.670288,0.603786,0.797146
627.720276,0.563201,0.826320
627.770264,0.521209,0.853429
627.820251,0.477915,0.878406
627.870239,0.433426,0.901189
627.920227,0.387855,0.921720
627.970215,0.341315,0.939949
628.020203,0.293923,0.955829
628.070190,0.245796,0.969322
628.120178,0.197054,0.980393
628.170166,0.147821,0.989014
628.220154,0.098218,0.995165
628.270142,0.048370,0.998829
628.320129,0.001599,0.999999
628.370117,0.051564,0.998670
628.420105,0.101400,0.994846
628.470093,0.150982,0.988536
628.520081,0.200188,0.979757
628.570068,0.248894,0.968531
628.620056,0.296977,0.954885
628.670044,0.344319,0.938853
628.720032,0.390800,0.920475
628.770020,0.436306,0.899799
628.820007,0.480721,0.876874
628.869995,0.523935,0.851758
628.919983,0.565840,0.824515
628.969971,0.606332,0.795212
629.019958,0.645309,0.763922
629.069946,0.682674,0.730723
629.119934,0.718333,0.695699
629.169922,0.752198,0.658937
629.219910,0.784183,0.620529
629.269897,0.814210,0.580571
629.319885,0.842202,0.539162
629.369873,0.868090,0.496406
629.419861,0.891810,0.452410
629.469849,0.913301,0.407284
629.519836,0.932511,0.361140
629.569824,0.949392,0.314095
629.619812,0.963900,0.266264
629.669800,0.976001,0.217768
629.719788,0.985663,0.168728
629.769775,0.992862,0.119267
629.819763,0.997581,0.069508
629.869751,0.999808,0.019575
629.919739,0.999538,0.030407
629.969727,0.996770,0.080313
630.019714,0.991512,0.130018
630.069702,0.983776,0.179399
630.119690,0.973584,0.228331
630.169678,0.960958,0.276693
630.219666,0.945933,0.324363
630.269653,0.928544,0.371223
630.319641,0.908835,0.417156
630.369629,0.886855,0.462047
630.419617,0.862661,0.505783
630.469604,0.836311,0.548256
630.519592,0.807871,0.589359
630.569580,0.777414,0.628990
630.619568,0.745014,0.667049
630.669556,0.710753,0.703442
630.719543,0.674716,0.738077
630.769531,0.636994,0.770869
630.819519,0.597680,0.801735
630.869507,0.556873,0.830598
630.919495,0.514675,0.857385
630.969482,0.471191,0.882031
631.019470,0.426530,0.904473
631.069458,0.380804,0.924656
631.119446,0.334126,0.942528
631.169434,0.286613,0.958046
631.219421,0.238384,0.971171
631.269409,0.189560,0.981869
631.319397,0.140262,0.990114
631.369385,0.090614,0.995886
631.419373,0.040740,0.999170
631.469360,0.009237,0.999957
631.519348,0.059190,0.998247
631.569336,0.108996,0.994042
631.619324,0.158529,0.987354
631.669312,0.207666,0.978200
631.719299,0.256284,0.966601
631.769287,0.304262,0.952588
631.819275,0.351480,0.936195
631.869263,0.397820,0.917464
631.919250,0.443166,0.896440
631.969238,0.487405,0.873176
632.019226,0.530426,0.847731
632.069214,0.572122,0.820169
632.119202,0.612388,0.790557
632.169189,0.651125,0.758970
632.219177,0.688235,0.725487
632.269165,0.723626,0.690192
632.319153,0.757209,0.653173
632.369141,0.788900,0.614521
632.419128,0.818621,0.574335
632.469116,0.846296,0.532713
632.519104,0.871857,0.489761
632.569092,0.895240,0.445585
632.619080,0.916386,0.400296
632.669067,0.935243,0.354007
0.000000,0.000000,1.000000
0.050000,0.049979,0.998750
0.100000,0.099833,0.995004
0.150000,0.149438,0.988771
0.200000,0.198669,0.980067
0.250000,0.247404,0.968912
0.300000,0.295520,0.955336
0.350000,0.342898,0.939373
0.400000,0.389418,0.921061
0.450000,0.434966,0.900447
0.500000,0.479426,0.877583
0.550000,0.522687,0.852524
0.600000,0.564643,0.825336
0.650000,0.605186,0.796084
0.700000,0.644218,0.764842
0.750000,0.681639,0.731689
0.800000,0.717356,0.696707
0.850000,0.751280,0.659983
0.900000,0.783327,0.621610
0.950000,0.813416,0.581683
1.000000,0.841471,0.540302
1.050000,0.867423,0.497571
1.100000,0.891207,0.453596
1.150000,0.912764,0.408487
1.200000,0.932039,0.362358
1.250000,0.948985,0.315322
1.300000,0.963558,0.267499
1.350000,0.975723,0.219007
1.400000,0.985450,0.169967
1.450000,0.992713,0.120503
1.500000,0.997495,0.070738
1.550000,0.999784,0.020795
1.600000,0.999574,0.029199
1.649999,0.996865,0.079120
1.699999,0.991665,0.128844
1.749999,0.983986,0.178245
1.799999,0.973848,0.227201
1.849999,0.961275,0.275590
1.899999,0.946300,0.323289
1.949999,0.928960,0.370180
1.999999,0.909298,0.416146
2.049999,0.887363,0.461072
2.099999,0.863210,0.504845
2.149999,0.836899,0.547357
2.199999,0.808497,0.588500
2.249999,0.778074,0.628173
2.299999,0.745706,0.666275
2.349999,0.711474,0.702712
2.399999,0.675464,0.737393
2.449999,0.637766,0.770231
2.499999,0.598473,0.801143
2.549999,0.557685,0.830053
2.599999,0.515502,0.856888
2.649999,0.472032,0.881582
2.699999,0.427381,0.904072
2.749999,0.381662,0.924302
2.799999,0.334990,0.942222
2.849998,0.287479,0.957787
2.899998,0.239251,0.970958
2.949998,0.190424,0.981702
2.999998,0.141122,0.989992
3.049998,0.091466,0.995808
3.099998,0.041582,0.999135
3.149998,0.008405,0.999965
3.199998,0.058372,0.998295
3.249998,0.108193,0.994130
3.299998,0.157744,0.987480
3.349998,0.206900,0.978362
3.399998,0.255539,0.966799
3.449998,0.303540,0.952819
3.499998,0.350781,0.936457
3.549998,0.397146,0.917755
3.599998,0.442518,0.896759
3.649998,0.486785,0.873522
3.699998,0.529834,0.848101
3.749998,0.571559,0.820561
3.799998,0.611856,0.790969
3.849998,0.650623,0.759401
3.899997,0.687764,0.725934
3.949997,0.723186,0.690653
3.999997,0.756801,0.653646
4.049997,0.788524,0.615004
4.099998,0.818276,0.574826
4.149998,0.845982,0.533211
4.199998,0.871575,0.490263
4.249998,0.894989,0.446089
4.299998,0.916165,0.400801
4.349998,0.935052,0.354510
4.399999,0.951602,0.307334
4.449999,0.965773,0.259390
4.499999,0.977530,0.210797
4.549999,0.986844,0.161677
4.599999,0.993691,0.112153
4.650000,0.998054,0.062349
4.700000,0.999923,0.012389
4.750000,0.999293,0.037602
4.800000,0.996165,0.087499
4.850000,0.990546,0.137177
4.900001,0.982453,0.186513
4.950001,0.971903,0.235382
5.000001,0.958924,0.283663
5.050001,0.943548,0.331235
5.100001,0.925814,0.377979
5.150002,0.905766,0.423778
5.200002,0.883454,0.468518
5.250002,0.858934,0.512087
5.300002,0.832266,0.554376
5.350002,0.803519,0.595279
5.400002,0.772763,0.634695
5.450003,0.740076,0.672524
5.500003,0.705538,0.708672
5.550003,0.669238,0.743048
5.600003,0.631264,0.775568
5.650003,0.591713,0.806149
5.700004,0.550683,0.834715
5.750004,0.508276,0.861194
5.800004,0.464599,0.885521
5.850004,0.419760,0.907635
5.900004,0.373873,0.927480
5.950005,0.327050,0.945007
6.000005,0.279411,0.960172
6.050005,0.231073,0.972936
6.100005,0.182157,0.983269
6.150005,0.132787,0.991145
6.200006,0.083084,0.996543
6.250006,0.033173,0.999450
6.300006,0.016820,0.999859
6.350006,0.066771,0.997768
6.400006,0.116555,0.993184
6.450006,0.166049,0.986118
6.500007,0.215127,0.976586
6.550007,0.263667,0.964614
6.600007,0.311548,0.950230
6.650007,0.358651,0.933472
6.700007,0.404857,0.914380
6.750008,0.450051,0.893003
6.800008,0.494120,0.869394
6.850008,0.536954,0.843611
6.900008,0.578446,0.815720
6.950008,0.618493,0.785791
7.000009,0.656993,0.753897
7.050009,0.693851,0.720118
7.100009,0.728975,0.684540
7.150009,0.762277,0.647251
7.200009,0.793674,0.608344
7.250010,0.823086,0.567916
7.300010,0.850442,0.526069
7.350010,0.875672,0.482907
7.400010,0.898713,0.438538
7.450010,0.919507,0.393073
7.500010,0.938004,0.346625
7.550011,0.954155,0.299311
7.600011,0.967922,0.251249
7.650011,0.979270,0.202559
7.700011,0.988170,0.153363
7.750011,0.994600,0.103783
7.800012,0.998544,0.053944
7.850012,0.999992,0.003970
7.900012,0.998941,0.046014
7.950012,0.995393,0.095883
8.000012,0.989356,0.145512
8.050013,0.980847,0.194778
8.100013,0.969887,0.243557
8.150013,0.956502,0.291726
8.200013,0.940726,0.339167
8.250013,0.922599,0.385760
8.300014,0.902166,0.431389
8.350014,0.879478,0.475940
8.400014,0.854592,0.519301
8.450014,0.827569,0.561364
8.500014,0.798479,0.602023
8.550014,0.767392,0.641178
8.600015,0.734387,0.678731
8.650015,0.699547,0.714587
8.700015,0.662958,0.748657
8.750015,0.624712,0.780855
8.800015,0.584905,0.811102
8.850016,0.543635,0.839322
8.900016,0.501007,0.865443
8.950016,0.457127,0.889402
9.000016,0.412104,0.911137
9.050016,0.366051,0.930595
9.100017,0.319083,0.947727
9.150017,0.271317,0.962490
9.200017,0.222873,0.974847
9.250017,0.173873,0.984768
9.300017,0.124437,0.992227
9.350018,0.074691,0.997207
9.400018,0.024758,0.999693
9.450018,0.025237,0.999681
9.500018,0.075169,0.997171
9.550018,0.124913,0.992168
9.600019,0.174345,0.984685
9.650019,0.223341,0.974740
9.700019,0.271779,0.962360
9.750019,0.319537,0.947574
9.800019,0.366497,0.930419
9.850019,0.412541,0.910939
9.900020,0.457553,0.889182
9.950020,0.501422,0.865203
10.000020,0.544038,0.839061
10.050020,0.585294,0.810821
10.100020,0.625087,0.780555
10.150021,0.663317,0.748338
10.200021,0.699890,0.714251
10.250021,0.734713,0.678378
10.300021,0.767699,0.640810
10.350021,0.798767,0.601640
10.400022,0.827839,0.560966
10.450022,0.854841,0.518891
10.500022,0.879706,0.475518
10.550022,0.902373,0.430956
10.600022,0.922784,0.385318
10.650023,0.940889,0.338716
10.700023,0.956642,0.291268
10.750023,0.970003,0.243091
10.800023,0.980941,0.194307
10.850023,0.989426,0.145038
10.900023,0.995438,0.095405
10.950024,0.998963,0.045535
11.000024,0.999990,0.004450
11.050024,0.998518,0.054423
11.100024,0.994550,0.104260
11.150024,0.988096,0.153837
11.200025,0.979173,0.203029
11.250025,0.967802,0.251714
11.300025,0.954012,0.299769
11.350025,0.937837,0.347075
11.400025,0.919319,0.393514
11.450026,0.898502,0.438969
11.500026,0.875440,0.483327
11.550026,0.850189,0.526477
11.600026,0.822814,0.568311
11.650026,0.793382,0.608725
11.700027,0.761966,0.647617
11.750027,0.728647,0.684890
11.800027,0.693506,0.720451
11.850027,0.656631,0.754212
11.900027,0.618116,0.786087
11.950027,0.578055,0.815998
12.000028,0.536550,0.843869
12.050028,0.493703,0.869631
12.100028,0.449622,0.893219
12.150028,0.404418,0.914574
12.200028,0.358203,0.933644
12.250029,0.311092,0.950380
12.300029,0.263204,0.964740
12.350029,0.214658,0.976689
12.400029,0.165575,0.986197
12.450029,0.116079,0.993240
12.500030,0.066292,0.997800
12.550030,0.016340,0.999866
12.600030,0.033653,0.999434
12.650030,0.083562,0.996503
12.700030,0.133262,0.991081
12.750031,0.182629,0.983182
12.800031,0.231540,0.972825
12.850031,0.279872,0.960037
12.900031,0.327504,0.944850
12.950031,0.374318,0.927301
13.000031,0.420196,0.907434
13.050032,0.465023,0.885298
13.100032,0.508689,0.860950
13.150032,0.551083,0.834450
13.200032,0.592099,0.805865
13.250032,0.631636,0.775265
13.300033,0.669594,0.742727
13.350033,0.705878,0.708333
13.400033,0.740398,0.672169
13.450033,0.773067,0.634324
13.500033,0.803804,0.594894
13.550034,0.832532,0.553977
13.600034,0.859179,0.511675
13.650034,0.883679,0.468094
13.700034,0.905969,0.423344
13.750034,0.925995,0.377535
13.800035,0.943707,0.330782
13.850035,0.959060,0.283203
13.900035,0.972016,0.234916
13.950035,0.982542,0.186042
14.000035,0.990612,0.136702
14.050035,0.996206,0.087021
14.100036,0.999311,0.037123
14.150036,0.999917,0.012869
14.200036,0.998024,0.062828
14.250036,0.993637,0.112630
14.300036,0.986766,0.162150
14.350037,0.977429,0.211266
14.400037,0.965648,0.259853
14.450037,0.951454,0.307791
14.500037,0.934882,0.354959
14.550037,0.915973,0.401240
14.600038,0.894774,0.446519
14.650038,0.871339,0.490681
14.700038,0.845727,0.533616
14.750038,0.818000,0.575218
14.800038,0.788228,0.615383
14.850039,0.756487,0.654009
14.900039,0.722855,0.691000
14.950039,0.687415,0.726264
15.000039,0.650258,0.759713
15.050039,0.611475,0.791263
15.100039,0.571164,0.820836
15.150040,0.529426,0.848356
15.200040,0.486364,0.873756
15.250040,0.442086,0.896973
15.300040,0.396704,0.917947
15.350040,0.350329,0.936627
15.400041,0.303080,0.952965
15.450041,0.255072,0.966922
15.500041,0.206427,0.978462
15.550041,0.157266,0.987556
15.600041,0.107713,0.994182
15.650042,0.057889,0.998323
15.700042,0.007921,0.999969
15.750042,0.042066,0.999115
15.800042,0.091949,0.995764
15.850042,0.141602,0.989924
15.900043,0.190900,0.981609
15.950043,0.239722,0.970842
16.000042,0.287944,0.957647
16.050041,0.335445,0.942060
16.100040,0.382109,0.924117
16.150040,0.427817,0.903865
16.200039,0.472456,0.881354
16.250038,0.515915,0.856640
16.300037,0.558083,0.829785
16.350037,0.598857,0.800856
16.400036,0.638134,0.769925
16.450035,0.675816,0.737070
16.500034,0.711809,0.702373
16.550034,0.746023,0.665920
16.600033,0.778373,0.627802
16.650032,0.808777,0.588116
16.700031,0.837159,0.546960
16.750031,0.863449,0.504436
16.800030,0.887581,0.460652
16.850029,0.909494,0.415717
16.900028,0.929134,0.369742
16.950027,0.946452,0.322843
17.000027,0.961405,0.275138
17.050026,0.973954,0.226744
17.100025,0.984069,0.177784
17.150024,0.991725,0.128380
17.200024,0.996902,0.078655
17.250023,0.999587,0.028733
17.300022,0.999774,0.021261
17.350021,0.997462,0.071201
17.400021,0.992657,0.120964
17.450020,0.985371,0.170424
17.500019,0.975622,0.219459
17.550018,0.963434,0.267944
17.600018,0.948839,0.315760
17.650017,0.931872,0.362787
17.700016,0.912576,0.408907
17.750015,0.890999,0.454005
17.800014,0.867195,0.497969
17.850014,0.841224,0.540687
17.900013,0.813150,0.582055
17.950012,0.783043,0.621967
18.000011,0.750980,0.660325
18.050011,0.717039,0.697033
18.100010,0.681307,0.731998
18.150009,0.643871,0.765134
18.200008,0.604826,0.796358
18.250008,0.564270,0.825591
18.300007,0.522303,0.852760
18.350006,0.479030,0.877798
18.400005,0.434561,0.900642
18.450005,0.389005,0.921236
18.500004,0.342477,0.939526
18.550003,0.295093,0.955469
18.600002,0.246971,0.969023
18.650002,0.198233,0.980155
18.700001,0.148998,0.988837
18.750000,0.099392,0.995048
18.799999,0.049536,0.998772
18.849998,0.000443,1.000000
18.899998,0.050420,0.998728
18.949997,0.100272,0.994960
18.999996,0.149873,0.988705
19.049995,0.199100,0.979979
19.099995,0.247829,0.968804
19.149994,0.295939,0.955207
19.199993,0.343308,0.939223
19.249992,0.389820,0.920891
19.299992,0.435358,0.900258
19.349991,0.479807,0.877374
19.399990,0.523057,0.852298
19.449989,0.565000,0.825091
19.499989,0.605531,0.795822
19.549988,0.644548,0.764564
19.599987,0.681954,0.731395
19.649986,0.717656,0.696398
19.699986,0.751564,0.659660
19.749985,0.783593,0.621274
19.799984,0.813664,0.581335
19.849983,0.841702,0.539943
19.899982,0.867635,0.497201
19.949982,0.891400,0.453217
19.999981,0.912937,0.408099
20.049980,0.932193,0.361962
20.099979,0.949118,0.314920
20.149979,0.963671,0.267091
20.199978,0.975816,0.218595
20.249977,0.985521,0.169552
20.299976,0.992764,0.120085
20.349976,0.997525,0.070319
20.399975,0.999792,0.020376
20.449974,0.999561,0.029617
20.499973,0.996832,0.079537
20.549973,0.991611,0.129258
20.599972,0.983912,0.178655
20.649971,0.973753,0.227606
20.699970,0.961161,0.275989
20.749969,0.946166,0.323681
20.799969,0.928807,0.370564
20.849968,0.909126,0.416521
20.899967,0.887173,0.461438
20.949966,0.863002,0.505200
20.999966,0.836674,0.547701
21.049965,0.808256,0.588832
21.099964,0.777817,0.628491
21.149963,0.745434,0.666580
21.199963,0.711188,0.703002
21.249962,0.675164,0.737668
21.299961,0.637453,0.770490
21.349960,0.598148,0.801386
21.399960,0.557349,0.830279
21.449959,0.515156,0.857096
21.499958,0.471676,0.881772
21.549957,0.427017,0.904244
21.599957,0.381291,0.924455
21.649956,0.334611,0.942356
21.699955,0.287096,0.957902
21.749954,0.238863,0.971053
21.799953,0.190032,0.981778
21.849953,0.140727,0.990048
21.899952,0.091070,0.995844
21.949951,0.041186,0.999152
21.999950,0.008802,0.999961
22.049950,0.058767,0.998272
22.099949,0.108586,0.994087
22.149948,0.158133,0.987418
22.199947,0.207285,0.978281
22.249947,0.255919,0.966698
22.299946,0.303913,0.952700
22.349945,0.351148,0.936320
22.399944,0.397505,0.917600
22.449944,0.442868,0.896587
22.499943,0.487125,0.873333
22.549942,0.530164,0.847895
22.599941,0.571877,0.820339
22.649940,0.612162,0.790732
22.699940,0.650917,0.759149
22.749939,0.688044,0.725669
22.799938,0.723452,0.690375
22.849937,0.757052,0.653355
22.899937,0.788759,0.614702
22.949936,0.818495,0.574513
22.999935,0.846186,0.532888
23.049934,0.871761,0.489931
23.099934,0.895158,0.445749
23.149933,0.916317,0.400454
23.199932,0.935186,0.354157
23.249931,0.951717,0.306976
23.299931,0.965870,0.259027
23.349930,0.977609,0.210430
23.399929,0.986904,0.161308
23.449928,0.993733,0.111783
23.499928,0.998078,0.061978
23.549927,0.999928,0.012018
23.599926,0.999279,0.037972
23.649925,0.996132,0.087867
23.699924,0.990496,0.137542
23.749924,0.982384,0.186874
23.799923,0.971817,0.235738
23.849922,0.958820,0.284013
23.899921,0.943428,0.331579
23.949921,0.925677,0.378315
23.999920,0.905612,0.424106
24.049919,0.883284,0.468838
24.099918,0.858749,0.512397
24.149918,0.832067,0.554675
24.199917,0.803305,0.595568
24.249916,0.772536,0.634971
24.299915,0.739836,0.672788
24.349915,0.705286,0.708923
24.399914,0.668974,0.743286
24.449913,0.630990,0.775791
24.499912,0.591428,0.806358
24.549911,0.550389,0.834909
24.599911,0.507973,0.861373
24.649910,0.464289,0.885684
24.699909,0.419443,0.907782
24.749908,0.373550,0.927610
24.799908,0.326722,0.945120
24.849907,0.279078,0.960268
24.899906,0.230737,0.973016
24.949905,0.181819,0.983332
24.999905,0.132446,0.991190
25.049904,0.082743,0.996571
25.099903,0.032832,0.999461
25.149902,0.017160,0.999853
25.199902,0.067110,0.997746
